ISO3,Country,Continent,Hemisphere,Human Development Groups,HDI Rank (2021),Life Expectancy at Birth (1990),Life Expectancy at Birth (2021)
IRQ,Iraq,Asia,Northern Hemisphere,Medium,121,58.4355,70.3779
ISL,Iceland,Europe,Northern Hemisphere,Very High,3,78.1628,82.6782
ISR,Israel,Asia,Northern Hemisphere,Very High,22,77.1942,82.255
ITA,Italy,Europe,Northern Hemisphere,Very High,30,76.9909,82.8502
JAM,Jamaica,America,Northern Hemisphere,High,110,72.3041,70.5003
JOR,Jordan,Asia,Northern Hemisphere,High,102,69.8538,74.2563
JPN,Japan,Asia,Northern Hemisphere,Very High,19,78.9838,84.7839
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,56,64.8758,69.3622
KEN,Kenya,Africa,Northern Hemisphere,Medium,152,58.6145,61.427
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,118,64.2722,69.9774
KHM,Cambodia,Asia,Northern Hemisphere,Medium,146,55.4341,69.5835
KIR,Kiribati,Oceania,Northern Hemisphere,Medium,136,60.9174,67.4172
KNA,Saint Kitts and Nevis,America,Northern Hemisphere,High,75,65.1875,71.6822
KOR,South Korea,Asia,Northern Hemisphere,Very High,19,71.9401,83.6978
KWT,Kuwait,Asia,Northern Hemisphere,Very High,50,73.2805,78.6729
LAO,Lao,Asia,Northern Hemisphere,Medium,140,53.7128,68.0608
LBN,Lebanon,Asia,Northern Hemisphere,High,112,64.4747,75.0472
LBR,Liberia,Africa,Northern Hemisphere,Low,178,36.6883,60.7472
LBY,Libya,Africa,Northern Hemisphere,High,104,69.4231,71.9112
LCA,Saint Lucia,America,Northern Hemisphere,High,106,70.3261,71.1114
LIE,Liechtenstein,Europe,Northern Hemisphere,Very High,16,75.8628,83.2575
LKA,Sri Lanka,Asia,Northern Hemisphere,High,73,71.9268,76.3991
LSO,Lesotho,Africa,Southern Hemisphere,Low,168,59.3983,53.062
LTU,Lithuania,Europe,Northern Hemisphere,Very High,35,71.0085,73.7201
LUX,Luxembourg,Europe,Northern Hemisphere,Very High,17,75.6045,82.6287
LVA,Latvia,Europe,Northern Hemisphere,Very High,39,69.1956,73.5786
MAR,Morocco,Africa,Northern Hemisphere,Medium,123,62.4478,74.0419
MCO,Monaco,Europe,Northern Hemisphere,High,123,75.8078,85.9463
MDA,Moldova,Europe,Northern Hemisphere,High,80,68.0673,68.8459
MDG,Madagascar,Africa,Southern Hemisphere,Low,173,51.7009,64.4853
MDV,Maldives,Asia,Northern Hemisphere,High,90,63.5777,79.9182
MEX,Mexico,America,Northern Hemisphere,High,86,69.9707,70.2127
MHL,Marshall Islands,Oceania,Northern Hemisphere,Medium,131,62.1758,65.2688
MKD,North Macedonia,Europe,Northern Hemisphere,High,78,71.1968,73.8415
MLI,Mali,Africa,Northern Hemisphere,Low,186,46.6204,58.9414
MLT,Malta,Europe,Northern Hemisphere,Very High,23,75.9846,83.7769
MMR,Myanmar,Asia,Northern Hemisphere,Medium,149,56.6607,65.6716
MNE,Montenegro,Europe,Northern Hemisphere,Very High,49,75.5211,76.3426
MNG,Mongolia,Asia,Northern Hemisphere,High,96,58.7649,70.9754
MOZ,Mozambique,Africa,Southern Hemisphere,Low,185,44.469,59.3247
MRT,Mauritania,Africa,Northern Hemisphere,Medium,158,59.7696,64.3636
MUS,Mauritius,Africa,Southern Hemisphere,Very High,63,69.3874,73.5552
MWI,Malawi,Africa,Southern Hemisphere,Low,169,43.3227,62.9044
MYS,Malaysia,Asia,Northern Hemisphere,Very High,62,71.3071,74.8839
NAM,Namibia,Africa,Southern Hemisphere,Medium,139,62.4964,59.269
NER,Niger,Africa,Northern Hemisphere,Low,189,41.8517,61.5763
NGA,Nigeria,Africa,Northern Hemisphere,Low,163,46.0374,52.676
NIC,Nicaragua,America,Northern Hemisphere,Medium,126,63.0963,73.8368
NLD,Netherlands,Europe,Northern Hemisphere,Very High,10,77.0067,81.6873
NOR,Norway,Europe,Northern Hemisphere,Very High,2,76.5865,83.2339
NPL,Nepal,Asia,Northern Hemisphere,Medium,143,54.8333,68.4495
NRU,Nauru,Oceania,Southern Hemisphere,Low,46,61.3557,63.617
NZL,New Zealand,Oceania,Southern Hemisphere,Very High,13,75.4242,82.4513
OMN,Oman,Asia,Northern Hemisphere,Very High,54,69.782,72.5406
PAK,Pakistan,Asia,Northern Hemisphere,Low,161,60.0656,66.0979
PAN,Panama,America,Northern Hemisphere,Very High,61,71.0972,76.2233
PER,Peru,America,Southern Hemisphere,High,84,65.1059,72.3769
PHL,Philippines,Asia,Northern Hemisphere,Medium,116,65.9093,69.2664
PLW,Palau,Oceania,Northern Hemisphere,High,80,61.5816,66.0204
PNG,Papua New Guinea,Oceania,Southern Hemisphere,Medium,156,59.7212,65.3506
POL,Poland,Europe,Northern Hemisphere,Very High,34,70.678,76.4572
PRK,North Korea,Asia,Northern Hemisphere,High,15,70.21,73.2845
PRT,Portugal,Europe,Northern Hemisphere,Very High,38,74.304,81.0443
PRY,Paraguay,America,Southern Hemisphere,High,105,67.9441,70.2617
PSE,"Palestine, State of",Asia,Northern Hemisphere,High,106,67.9337,73.4727
QAT,Qatar,Asia,Northern Hemisphere,Very High,42,73.9817,79.2716
ROU,Romania,Europe,Northern Hemisphere,Very High,53,69.729,74.1847
RUS,Russian Federation,Europe,Northern Hemisphere,Very High,52,68.5354,69.419
RWA,Rwanda,Africa,Southern Hemisphere,Low,165,48.4312,66.0722
SAU,Saudi Arabia,Asia,Northern Hemisphere,Very High,35,68.9485,76.936
SDN,Sudan,Africa,Northern Hemisphere,Low,172,49.7321,65.2667
SEN,Senegal,Africa,Northern Hemisphere,Low,170,56.9484,67.0926
SGP,Singapore,Asia,Northern Hemisphere,Very High,12,74.9444,82.7545
SLB,Solomon Islands,Oceania,Southern Hemisphere,Medium,155,65.3917,70.3477
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,181,44.0568,60.0624
SLV,El Salvador,America,Northern Hemisphere,Medium,125,62.5504,70.7479
SMR,San Marino,Europe,Northern Hemisphere,Very High,44,78.6696,80.8786
SOM,Somalia,Africa,Northern Hemisphere,Medium,100,47.1055,55.2803
SRB,Serbia,Europe,Northern Hemisphere,Very High,63,70.3146,74.1923
SSD,South Sudan,Africa,Northern Hemisphere,Low,191,29.9353,54.9752
STP,Sao Tome and Principe,Africa,Northern Hemisphere,Medium,138,61.471,67.5912
SUR,Suriname,America,Northern Hemisphere,High,99,64.2298,70.2743
SVK,Slovakia,Europe,Northern Hemisphere,Very High,45,70.8202,74.9101
SVN,Slovenia,Europe,Northern Hemisphere,Very High,23,73.5151,80.6904
SWE,Sweden,Europe,Northern Hemisphere,Very High,7,77.5883,82.9833
SWZ,Eswatini,Africa,Southern Hemisphere,Medium,144,63.0719,57.0657
SYC,Seychelles,Africa,Southern Hemisphere,High,72,69.0142,71.2945
SYR,Syrian Arab Republic,Asia,Northern Hemisphere,Medium,150,69.8172,72.0627
TCD,Chad,Africa,Northern Hemisphere,Low,190,44.6856,52.5254
TGO,Togo,Africa,Northern Hemisphere,Low,162,54.3697,61.6194
THA,Thailand,Asia,Northern Hemisphere,Very High,66,70.4449,78.7154
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,122,61.879,71.5942
TKM,Turkmenistan,Asia,Northern Hemisphere,High,91,63.939,69.2644
TLS,Timor-Leste,Asia,Southern Hemisphere,Medium,140,44.9535,67.7369
TON,Tonga,Oceania,Southern Hemisphere,High,91,67.2943,70.9857
TTO,Trinidad and Tobago,America,Northern Hemisphere,Very High,57,68.272,72.9709
TUN,Tunisia,Africa,Northern Hemisphere,High,97,70.1103,73.7719
TUR,Turkey,Asia,Northern Hemisphere,Very High,48,67.7092,76.0324
TUV,Tuvalu,Oceania,Southern Hemisphere,Medium,130,61.6615,64.5466
